@relation 'bpd_200204-201102-weka.filters.unsupervised.attribute.Remove-R1-5,11,13,15-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute dobYear numeric
@attribute height numeric
@attribute race {0.0,W,U,B,A,K,M,L,I,P,N}
@attribute gender {0.0,M,F,U}
@attribute medicalCount numeric
@attribute offenseCount numeric
@attribute warrantCount numeric
@attribute lastWarrantBail numeric
@attribute involveTotal numeric
@attribute involveCountVictim numeric
@attribute involveCountSuspect numeric
@attribute involveCountArrestee numeric
@attribute involveCountComplainant numeric

@data
0,0,0.0,0.0,0,0.166667,0,0,0.005216,0.001908,0,0,3
0.972139,0.82266,W,M,0,0.166667,0,0,0.017736,0.005725,0.090909,0.021277,11
0.978109,0,0.0,0.0,0,0,0,0,0.004173,0.001908,0,0,0
0.961194,0.834154,0.0,M,0,0,0,0,0.004173,0,0,0,0
0.971144,0.835796,B,M,0,0.166667,0,0,0.013041,0.003817,0.090909,0.042553,9
0.977612,0.821018,W,F,0,0.166667,0,0,0.011998,0.001908,0.045455,0,13
0.975124,0.986864,B,M,0,0.166667,0,0,0.00626,0.001908,0,0,2
0.966169,0.985222,W,M,0,0,0,0,0.003652,0.001908,0,0,0
0.968657,0.986864,W,M,0,0.166667,0,0,0.007825,0,0.045455,0,6
0.983582,0.832512,W,F,0,0.166667,0,0,0.011998,0.005725,0,0,5
0.977114,0.835796,W,F,0,0.166667,0,0,0.00626,0,0,0,4
0.970647,0.83087,B,M,0.2,0,0.058824,0,0.020344,0.001908,0.090909,0.170213,2
0.976617,0.83087,W,F,0,0.166667,0,0,0.017214,0.007634,0.045455,0,2
0,0,0.0,0.0,0,0.166667,0,0,0.004695,0,0.045455,0,3
0.982587,0.985222,W,M,0,0.166667,0,0,0.00939,0.001908,0,0,6
0.974129,0.827586,W,F,0.2,0.333333,0,0,0.004173,0,0.045455,0,4
0.985075,0.829228,W,F,0.2,0,0,0,0.003652,0.001908,0,0,2
0.986567,0.832512,W,F,0,0.166667,0,0,0.022953,0.007634,0.045455,0.021277,16
0.985075,0.825944,W,M,0,0.166667,0,0,0.047992,0.001908,0.136364,0.021277,73
0.967662,0.832512,W,F,0,0.166667,0,0,0.013563,0.005725,0,0,11
0.978607,0.82266,W,M,0,0.166667,0,0,0.005216,0.001908,0.090909,0,2
0.970149,0.821018,W,F,0.2,0,0,0,0.007825,0.001908,0,0,5
0.970647,0.827586,W,F,0,0.166667,0,0,0.016693,0.01145,0,0.021277,11
0.957711,0.832512,W,F,0,0.166667,0,0,0.00939,0.003817,0,0,4
